logT,Mbol
4.205,-1.750
4.259,-2.700
4.193,-2.170
4.350,-3.440
4.157,-2.480
4.226,-2.600
4.229,-3.000
4.243,-2.870
4.225,-2.410
4.217,-2.230
4.225,-2.870
4.237,-2.260
4.192,-2.400
4.234,-2.390
4.323,-3.110
4.289,-3.330
4.300,-3.070
4.189,-2.340
4.270,-3.010
4.295,-3.230
4.184,-2.130
4.260,-2.730
4.190,-1.800
4.280,-2.730
4.241,-2.840
4.257,-2.900
4.108,-1.230
4.200,-2.340
4.193,-2.200
4.205,-2.260
4.187,-2.230
4.270,-2.770
4.149,-1.830
4.152,-2.070
4.251,-2.850
4.286,-2.790
4.289,-2.810
4.226,-2.470
4.234,-2.530
4.199,-2.150
4.184,-1.740
4.201,-1.780
4.218,-2.370
4.142,-2.010
4.279,-2.750
4.125,-1.480
4.270,-2.820
4.211,-2.230
4.167,-1.660
4.202,-2.090
4.232,-2.460
4.273,-2.910
4.223,-2.530
4.203,-2.120
4.215,-2.010
4.179,-1.870
4.225,-2.420
4.229,-2.250
4.179,-1.790
4.177,-1.440
4.161,-1.740
4.229,-2.330
4.212,-2.190
4.115,-1.680
4.290,-2.720
4.204,-2.130
4.194,-2.060
4.225,-2.310
4.256,-2.470
4.188,-2.170
4.116,-1.570
4.231,-2.450
4.207,-1.930
4.262,-2.700
4.199,-1.920
4.177,-1.490
4.200,-2.070
4.189,-1.930
4.183,-2.030
4.158,-1.390
4.175,-1.660
4.223,-2.460
4.229,-2.450
4.211,-2.380
4.188,-1.820
4.186,-1.520
4.219,-2.220
4.106,-1.280
4.166,-2.090
4.091,-1.100
4.125,-1.360
4.215,-1.840
4.208,-2.180
4.300,-2.890
4.236,-2.330
4.169,-1.820
4.190,-1.900
4.270,-2.330
4.228,-2.030
4.222,-2.210
4.185,-1.760
4.156,-1.730
4.127,-1.640
4.223,-2.220
4.153,-1.470
4.135,-1.400
4.221,-2.180
4.251,-2.350
4.190,-1.810
4.136,-0.960
4.167,-1.780
4.193,-2.270
4.270,-2.350
4.157,-1.370
4.241,-2.450
4.246,-2.050
4.152,-1.280
4.169,-2.010
4.202,-2.100
4.241,-2.270
4.206,-1.840
4.179,-1.670
4.172,-1.680
4.150,-1.410
4.156,-1.730
4.203,-1.700
4.188,-1.860
4.119,-1.120
4.200,-1.660
4.190,-1.640
4.198,-1.560
4.148,-1.480
4.195,-1.780
4.163,-1.470
4.246,-2.320
4.190,-1.890
4.161,-1.610
4.165,-1.530
4.157,-1.650
4.203,-1.770
4.200,-2.070
4.156,-1.350
4.245,-1.930
4.219,-1.660
4.170,-1.020
4.195,-1.670
4.098,-1.340
4.209,-1.830
4.214,-1.930
4.151,-1.340
4.170,-1.380
4.123,-1.310
4.164,-1.520
4.180,-1.910
4.129,-1.040
4.204,-2.180
4.157,-1.570
4.218,-2.240
4.148,-1.290
4.198,-1.850
4.240,-2.350
4.196,-1.680
4.274,-2.440
4.190,-1.620
4.137,-1.150
4.179,-1.650
4.240,-1.910
4.171,-1.380
4.158,-1.290
4.187,-1.560
4.152,-1.230
4.196,-1.910
4.157,-1.280
4.142,-1.530
4.114,-1.130
4.168,-1.480
4.164,-1.230
4.094,-1.040
4.167,-1.490
4.185,-1.770
4.226,-1.850
4.234,-2.200
4.114,-1.280
4.161,-1.790
4.257,-2.330
4.250,-1.890
4.128,-1.190
4.202,-1.760
4.163,-1.420
4.201,-1.830
4.171,-1.600
4.202,-1.790
4.209,-1.830
4.191,-1.930
4.183,-1.790
4.090,-1.030
4.175,-1.520
4.147,-1.110
4.166,-1.020
4.185,-1.740
4.190,-1.590
4.158,-1.350
4.164,-1.560
4.171,-1.550
4.246,-2.240
4.117,-1.100
4.172,-1.460
4.140,-0.910
4.194,-1.670
4.161,-1.440
4.166,-1.580
4.156,-1.350
4.175,-1.410
4.173,-1.460
4.192,-1.620
4.182,-1.480
4.180,-1.650
4.119,-1.320
4.209,-1.840
4.152,-1.260
4.169,-1.460
4.177,-1.550
4.125,-1.050
4.149,-1.570
4.159,-1.180
4.156,-1.080
4.164,-1.470
4.121,-0.890
4.161,-0.980
4.154,-1.250
4.161,-1.280
4.157,-1.120
4.203,-1.830
4.207,-1.610
4.141,-1.290
4.131,-1.020
4.163,-1.410
4.152,-1.200
4.270,-2.090
4.124,-1.260
4.217,-1.880
4.172,-1.450
4.164,-1.330
4.168,-1.330
4.176,-1.550
4.146,-1.100
4.188,-1.500
4.147,-1.120
4.129,-0.950
4.118,-1.210
4.124,-0.830
4.130,-1.200
4.192,-1.520
4.116,-0.960
4.175,-1.580
4.164,-1.090
4.171,-1.280
4.133,-0.940
4.115,-1.150
4.125,-0.930
4.152,-1.290
4.159,-1.390
4.168,-1.460
4.131,-0.910
4.136,-1.050
4.182,-1.370
4.153,-1.160
4.135,-0.980
4.159,-1.360
4.156,-0.950
4.156,-1.380
4.146,-0.860
4.171,-1.340
4.148,-0.990
4.159,-1.170
4.124,-0.880
4.166,-1.440
4.175,-1.290
4.145,-1.100
4.144,-1.100
4.150,-1.060
4.160,-1.320
4.159,-1.110
4.112,-0.960
4.142,-1.040
4.132,-0.960
4.118,-0.940
4.169,-1.320
4.129,-0.930
4.158,-1.070
4.131,-0.920
4.129,-0.840
4.146,-1.060
4.144,-0.780
4.129,-1.080
4.149,-1.140
4.223,-1.710
4.126,-0.780
4.143,-1.040
4.163,-1.180
4.125,-0.770
4.156,-0.900
4.137,-0.960
4.136,-1.050
4.192,-1.430
4.122,-0.820
4.182,-1.110
4.177,-1.200
4.150,-1.000
4.127,-0.740
4.133,-0.900
4.170,-1.270
4.163,-0.980
4.172,-1.290
4.147,-1.120
4.138,-0.990
4.121,-0.800
4.161,-0.860
4.155,-1.090
4.235,-1.300
4.154,-0.890
4.144,-0.880
4.158,-0.850
4.130,-0.750
4.136,-0.720
4.123,-0.780
4.128,-0.850
4.126,-0.740
4.142,-0.780
4.128,-0.800
4.137,-0.790
4.156,-0.720
4.152,-0.830
4.144,-0.610
4.203,-0.870
4.138,-0.650
