T,L
6.053408747539136129e+03,1.548816618912481458e+00
5.834451042737448006e+03,1.584893192461113598e+00
7.079457843841380964e+03,1.348962882591653534e+00
1.995262314968878854e+04,2.570395782768864592e+04
1.849268618978079758e+04,1.445439770745928035e+04
1.995262314968878854e+04,1.698243652461746024e+04
1.918668740670290936e+04,1.174897554939530346e+04
2.113489039836647498e+04,1.000000000000000000e+04
2.113489039836647498e+04,1.000000000000000000e+04
2.113489039836647498e+04,1.000000000000000000e+04
1.849268618978079758e+04,5.888436553555889986e+03
1.995262314968878854e+04,5.754399373371566071e+03
1.995262314968878854e+04,5.754399373371566071e+03
1.995262314968878854e+04,5.754399373371566071e+03
1.778279410038922651e+04,3.981071705534973262e+03
1.849268618978079758e+04,3.801893963205612636e+03
1.849268618978079758e+04,3.801893963205612636e+03
1.849268618978079758e+04,3.801893963205612636e+03
1.849268618978079758e+04,3.715352290971723960e+03
1.849268618978079758e+04,3.715352290971723960e+03
1.849268618978079758e+04,3.715352290971723960e+03
1.729816359215103148e+04,2.951209226666387167e+03
1.729816359215103148e+04,2.951209226666387167e+03
1.729816359215103148e+04,2.951209226666387167e+03
2.238721138568337847e+04,5.495408738576248652e+03
1.849268618978079758e+04,2.511886431509579779e+03
1.918668740670290936e+04,2.630267991895381329e+03
1.778279410038922651e+04,2.089296130854038893e+03
1.678804018122558773e+04,1.737800828749376251e+03
1.678804018122558773e+04,1.737800828749376251e+03
1.678804018122558773e+04,1.737800828749376251e+03
1.778279410038922651e+04,1.778279410038922833e+03
1.778279410038922651e+04,1.737800828749376251e+03
1.729816359215103148e+04,1.584893192461114040e+03
1.778279410038922651e+04,1.479108388168207284e+03
1.778279410038922651e+04,1.412537544622754012e+03
1.778279410038922651e+04,1.412537544622754012e+03
1.778279410038922651e+04,1.318256738556407527e+03
1.584893192461114086e+04,1.000000000000000000e+03
1.524052753797290643e+04,8.128305161640995493e+02
1.678804018122558773e+04,1.023292992280753651e+03
1.584893192461114086e+04,8.511380382023768334e+02
1.678804018122558773e+04,9.120108393559096385e+02
1.629296032639721489e+04,7.413102413009177099e+02
1.629296032639721489e+04,7.244359600749899073e+02
1.584893192461114086e+04,6.309573444801930009e+02
1.412537544622755377e+04,4.365158322401661053e+02
1.524052753797290643e+04,5.248074602497728165e+02
1.584893192461114086e+04,5.495408738576247742e+02
1.629296032639721489e+04,5.370317963702526640e+02
1.584893192461114086e+04,4.677351412871981324e+02
1.358313446587154249e+04,3.235936569296280823e+02
1.358313446587154249e+04,3.235936569296280823e+02
1.629296032639721489e+04,4.570881896148752048e+02
1.358313446587154249e+04,2.884031503126605571e+02
1.309181922999406925e+04,2.511886431509579722e+02
1.468926277643866160e+04,3.235936569296280823e+02
1.412537544622755377e+04,2.818382931264454783e+02
1.309181922999406925e+04,2.137962089502232459e+02
1.468926277643866160e+04,2.818382931264454783e+02
1.584893192461114086e+04,3.235936569296280823e+02
1.188502227437018882e+04,1.659586907437561365e+02
1.468926277643866160e+04,2.454708915685031059e+02
1.221799660164871057e+04,1.621810097358929852e+02
1.412537544622755377e+04,2.089296130854038722e+02
1.358313446587154249e+04,1.819700858609982674e+02
1.358313446587154249e+04,1.737800828749376194e+02
1.309181922999406925e+04,1.479108388168207284e+02
1.309181922999406925e+04,1.445439770745927888e+02
1.122018454301962993e+04,8.912509381337454784e+01
1.309181922999406925e+04,1.202264434617413116e+02
1.188502227437018882e+04,9.120108393559097237e+01
1.188502227437018882e+04,8.511380382023763502e+01
1.188502227437018882e+04,7.585775750291836061e+01
1.221799660164871057e+04,7.585775750291836061e+01
1.153453257821093030e+04,6.606934480075960892e+01
1.188502227437018882e+04,6.918309709189365719e+01
1.468926277643866160e+04,1.071519305237605977e+02
1.153453257821093030e+04,5.754399373371569482e+01
1.122018454301962993e+04,5.370317963702527209e+01
1.153453257821093030e+04,5.495408738576245611e+01
1.096478196143185050e+04,4.786300923226382764e+01
1.153453257821093030e+04,5.011872336272722350e+01
1.122018454301962993e+04,4.570881896148749490e+01
1.122018454301962993e+04,3.630780547701014171e+01
3.184197521726125615e+03,7.413102413009177099e+02
4.875284901033865026e+03,4.677351412871981040e+01
3.819442708400464198e+03,7.762471166286916002e+01
8.203515443298185346e+03,2.344228815319922532e+01
8.203515443298185346e+03,2.344228815319922532e+01
8.203515443298185346e+03,2.344228815319922532e+01
4.875284901033865026e+03,2.454708915685029780e+01
8.035261221856168959e+03,1.778279410038922848e+01
8.035261221856168959e+03,1.778279410038922848e+01
8.035261221856168959e+03,1.778279410038922848e+01
4.897788193684461476e+03,2.290867652767773421e+01
9.311078754678301266e+03,1.698243652461744446e+01
7.943282347242813557e+03,1.445439770745927177e+01
5.011872336272725079e+03,1.819700858609983385e+01
6.870684400142324193e+03,1.412537544622754027e+01
4.613175745603795804e+03,2.137962089502232388e+01
4.613175745603795804e+03,2.137962089502232388e+01
4.613175745603795804e+03,2.137962089502232388e+01
5.152286445817567255e+03,1.621810097358929781e+01
4.808393484497284589e+03,1.819700858609983385e+01
4.943106869868353897e+03,1.698243652461744446e+01
4.613175745603795804e+03,1.778279410038922848e+01
4.613175745603795804e+03,1.778279410038922848e+01
4.613175745603795804e+03,1.778279410038922848e+01
7.870457896950984832e+03,1.148153621496882870e+01
7.464487584100668755e+03,1.122018454301963608e+01
7.464487584100668755e+03,1.122018454301963608e+01
7.464487584100668755e+03,1.122018454301963608e+01
4.613175745603795804e+03,1.584893192461113287e+01
4.613175745603795804e+03,1.584893192461113287e+01
4.613175745603795804e+03,1.584893192461113287e+01
4.385306977749855832e+03,1.819700858609983385e+01
4.786300923226384839e+03,1.445439770745927177e+01
7.603262769401814694e+03,1.000000000000000000e+01
4.178303666466217692e+03,2.089296130854039646e+01
4.897788193684461476e+03,1.288249551693134265e+01
4.764309868054156141e+03,1.318256738556407370e+01
7.798301105232585542e+03,8.511380382023766344e+00
4.808393484497284589e+03,1.148153621496882870e+01
7.464487584100668755e+03,8.128305161640993148e+00
6.870684400142324193e+03,7.413102413009174718e+00
6.870684400142324193e+03,7.413102413009174718e+00
6.870684400142324193e+03,7.413102413009174718e+00
7.464487584100668755e+03,7.244359600749900707e+00
6.591738952443212838e+03,7.079457843841378661e+00
8.279421637123345135e+03,7.413102413009174718e+00
6.776415076106750348e+03,6.760829753919817442e+00
6.776415076106750348e+03,6.760829753919817442e+00
6.776415076106750348e+03,6.760829753919817442e+00
6.397348354826482137e+03,6.918309709189363943e+00
7.277798045368242128e+03,6.456542290346556356e+00
7.277798045368242128e+03,6.309573444801933384e+00
6.776415076106750348e+03,6.309573444801933384e+00
6.776415076106750348e+03,6.309573444801933384e+00
6.776415076106750348e+03,6.309573444801933384e+00
7.030723198838333701e+03,6.309573444801933384e+00
7.533555637337170083e+03,6.309573444801933384e+00
7.798301105232585542e+03,5.623413251903491172e+00
7.396052750582382032e+03,5.370317963702526676e+00
6.637430704019089717e+03,5.370317963702526676e+00
6.637430704019089717e+03,5.370317963702526676e+00
6.637430704019089717e+03,5.370317963702526676e+00
6.151768727098683485e+03,5.248074602497725394e+00
5.956621435290103364e+03,5.370317963702526676e+00
6.237348354824191119e+03,5.128613839913648498e+00
7.328245331389044622e+03,5.011872336272721995e+00
7.079457843841380964e+03,4.897788193684461611e+00
5.888436553555889986e+03,5.011872336272721995e+00
6.729766562843175052e+03,4.786300923226384008e+00
5.861381645140284490e+03,5.011872336272721995e+00
7.211074791828998059e+03,4.570881896148750734e+00
6.053408747539136129e+03,4.897788193684461611e+00
6.397348354826482137e+03,4.677351412871982639e+00
6.397348354826482137e+03,4.677351412871982639e+00
6.397348354826482137e+03,4.677351412871982639e+00
5.834451042737448006e+03,4.570881896148750734e+00
6.309573444801930236e+03,4.365158322401660129e+00
6.309573444801930236e+03,4.365158322401660129e+00
6.309573444801930236e+03,4.365158322401660129e+00
6.683439175686148701e+03,4.265795188015927053e+00
7.030723198838333701e+03,4.073802778041127226e+00
5.956621435290103364e+03,4.265795188015927053e+00
6.397348354826482137e+03,4.073802778041127226e+00
6.397348354826482137e+03,4.073802778041127226e+00
6.397348354826482137e+03,4.073802778041127226e+00
6.025595860743575031e+03,4.168693834703353751e+00
5.649369748123022873e+03,4.265795188015927053e+00
5.861381645140284490e+03,4.073802778041127226e+00
6.237348354824191119e+03,3.890451449942805784e+00
6.237348354824191119e+03,3.890451449942805784e+00
6.237348354824191119e+03,3.890451449942805784e+00
5.807644175213117705e+03,4.073802778041127226e+00
6.180164001384157928e+03,3.890451449942805784e+00
5.714786366718672070e+03,4.073802778041127226e+00
5.284452517751802588e+03,4.365158322401660129e+00
5.807644175213117705e+03,3.981071705534972249e+00
5.649369748123022873e+03,3.981071705534972249e+00
5.861381645140284490e+03,3.890451449942805784e+00
5.929253245799999604e+03,3.801893963205611460e+00
5.508076964054035670e+03,3.890451449942805784e+00
5.333348954876208154e+03,4.073802778041127226e+00
5.688529308438412954e+03,3.630780547701013994e+00
5.559042572704037411e+03,3.715352290971725147e+00
5.767664633922508983e+03,3.548133892335755046e+00
5.984115950603199053e+03,3.467368504525316641e+00
5.984115950603199053e+03,3.388441561392025569e+00
5.508076964054035670e+03,3.548133892335755046e+00
5.714786366718672070e+03,3.311311214825911176e+00
5.333348954876208154e+03,3.548133892335755046e+00
1.629296032639721489e+04,3.890451449942804629e+03
1.778279410038922651e+04,3.801893963205612636e+03
4.130475019901614360e+03,1.949844599758045433e+03
4.130475019901614360e+03,1.949844599758045433e+03
4.130475019901614360e+03,1.949844599758045433e+03
1.849268618978079758e+04,2.818382931264454783e+03
1.678804018122558773e+04,1.995262314968878854e+03
1.678804018122558773e+04,1.995262314968878854e+03
1.678804018122558773e+04,1.995262314968878854e+03
1.849268618978079758e+04,1.737800828749376251e+03
1.678804018122558773e+04,1.230268770812381035e+03
1.412537544622755377e+04,7.762471166286919697e+02
1.412537544622755377e+04,7.762471166286919697e+02
1.412537544622755377e+04,7.762471166286919697e+02
1.584893192461114086e+04,1.000000000000000000e+03
1.468926277643866160e+04,6.025595860743575258e+02
1.584893192461114086e+04,6.025595860743575258e+02
1.153453257821093030e+04,2.630267991895381670e+02
1.309181922999406925e+04,2.951209226666387053e+02
1.122018454301962993e+04,2.137962089502232459e+02
1.358313446587154249e+04,2.630267991895381670e+02
1.309181922999406925e+04,2.344228815319922603e+02
1.309181922999406925e+04,1.905460717963246395e+02
1.153453257821093030e+04,1.258925411794167530e+02
1.309181922999406925e+04,1.621810097358929852e+02
1.221799660164871057e+04,1.348962882591653170e+02
1.309181922999406925e+04,1.445439770745927888e+02
1.258925411794166212e+04,1.202264434617413116e+02
1.188502227437018882e+04,1.047128548050899610e+02
1.258925411794166212e+04,1.148153621496882835e+02
1.122018454301962993e+04,8.709635899560805683e+01
1.096478196143185050e+04,8.317637711026708303e+01
1.221799660164871057e+04,9.120108393559097237e+01
1.221799660164871057e+04,9.120108393559097237e+01
1.153453257821093030e+04,7.943282347242814012e+01
1.122018454301962993e+04,6.760829753919819041e+01
1.071519305237607114e+04,6.025595860743577958e+01
1.096478196143185050e+04,5.754399373371569482e+01
1.000000000000000000e+04,4.677351412871981040e+01
1.096478196143185050e+04,5.128613839913648320e+01
4.943106869868353897e+03,4.168693834703355350e+01
5.333348954876208154e+03,3.630780547701014171e+01
5.495408738576248652e+03,3.311311214825911264e+01
4.875284901033865026e+03,3.890451449942806761e+01
6.501296903430908969e+03,2.630267991895381385e+01
5.058246620031142811e+03,2.884031503126605855e+01
4.897788193684461476e+03,2.951209226666385632e+01
5.058246620031142811e+03,2.454708915685029780e+01
5.000345349769782842e+03,2.238721138568340052e+01
9.311078754678301266e+03,1.737800828749375270e+01
6.309573444801930236e+03,1.445439770745927177e+01
6.652731562017413125e+03,1.318256738556407370e+01
6.397348354826482137e+03,1.288249551693134265e+01
6.501296903430908969e+03,1.258925411794167459e+01
6.776415076106750348e+03,1.148153621496882870e+01
6.397348354826482137e+03,1.174897554939529698e+01
6.471426157485831027e+03,1.148153621496882870e+01
6.591738952443212838e+03,1.096478196143185180e+01
6.637430704019089717e+03,1.071519305237606545e+01
6.397348354826482137e+03,1.023292992280754099e+01
6.546361740672747146e+03,1.023292992280754099e+01
6.807693586937417422e+03,1.000000000000000000e+01
6.591738952443212838e+03,9.549925860214358408e+00
6.637430704019089717e+03,9.549925860214358408e+00
6.637430704019089717e+03,9.332543007969910320e+00
6.823386941416697482e+03,8.317637711026710789e+00
6.637430704019089717e+03,8.128305161640993148e+00
6.637430704019089717e+03,8.128305161640993148e+00
6.683439175686148701e+03,7.585775750291837483e+00
6.934258060165694587e+03,7.244359600749900707e+00
6.934258060165694587e+03,7.244359600749900707e+00
6.934258060165694587e+03,7.244359600749900707e+00
6.591738952443212838e+03,6.456542290346556356e+00
6.546361740672747146e+03,5.248074602497725394e+00
6.546361740672747146e+03,5.248074602497725394e+00
6.546361740672747146e+03,5.248074602497725394e+00
6.823386941416697482e+03,5.128613839913648498e+00
6.776415076106750348e+03,4.897788193684461611e+00
6.683439175686148701e+03,4.073802778041127226e+00
6.501296903430908969e+03,3.981071705534972249e+00
6.546361740672747146e+03,3.981071705534972249e+00
6.637430704019089717e+03,3.715352290971725147e+00
6.591738952443212838e+03,3.388441561392025569e+00
6.353309318517435713e+03,3.235936569296282705e+00
6.546361740672747146e+03,2.691534803926915576e+00
6.353309318517435713e+03,2.398832919019490362e+00
6.441692655151775398e+03,2.398832919019490362e+00
