T,L
2.437810818368752280e+03,2.041737944669529473e-02
2.576321157002575546e+03,1.202264434617413176e-02
2.660725059798808616e+03,9.332543007969915094e-03
3.926449353995997171e+03,3.890451449942804976e-04
3.926449353995997171e+03,3.890451449942804976e-04
3.926449353995997171e+03,3.890451449942804976e-04
3.854783576657716822e+03,2.630267991895381412e-04
3.854783576657716822e+03,2.630267991895381412e-04
3.854783576657716822e+03,2.630267991895381412e-04
3.228494121712634751e+03,7.079457843841380172e-04
3.013006024186121977e+03,9.772372209558110971e-04
4.375221051582520886e+03,8.511380382023759500e-05
7.943282347242813557e+03,3.467368504525316757e-05
