ci,lum,absmag,spect
0.32,0.00039048108374925333,13.371,d
0.48,0.00016099040762157036,14.333,d
1.05,0.00006031148196178165,15.399,d
0.60,0.00012752637064597288,14.586,d
-0.09,0.0010403991770513506,12.307,d
0.55,0.00012291361730601674,14.626,d
-0.03,0.002549177050509118,11.334,d
0.32,0.00015617085932653738,14.366,d
1.57,0.0028628592708721187,11.208,d
0.96,0.00007138385536016631,15.216,d
0.88,0.0001088428737943594,14.758,d
0.30,0.00027039583641088433,13.770,d
0.99,0.00016368165214278085,14.315,d
0.91,0.0000807606861328975,15.082,d
0.24,0.00043812698202249257,13.246,d
1.10,0.00005350569381731367,15.529,d
1.30,0.00004096377763696796,15.819,d
0.66,0.00009709570065288236,14.882,d
1.53,0.003674514791999399,10.937,d
0.05,0.0012740896859191112,12.087,d
1.77,0.00029349452222697867,13.681,d
2.09,0.00007358681396510441,15.183,d
0.30,0.00021777097723531548,14.005,d
0.22,0.0012223624492787315,12.132,d
0.01,0.00030478949896279797,13.640,d
1.47,0.0044381298030813894,10.732,d
0.34,0.00026865813772687,13.777,d
1.43,0.022469841036401546,8.971,d
0.30,0.0002839226239424905,13.717,d
0.56,0.0001285878692634398,14.577,d
0.13,0.0003760105236684952,13.412,d
0.25,0.00047249802768019485,13.164,d
0.36,0.0002926846862378789,13.684,d
0.68,0.00009808441360309042,14.871,d
0.38,0.0003017171522601769,13.651,d
1.60,0.0014900471117870978,11.917,d
1.65,0.001062673865402463,12.284,d
0.32,0.0002370281899129778,13.913,d
1.52,0.003296097121774576,11.055,d
0.05,0.002365919697485759,11.415,d
0.28,0.000318566423657311,13.592,d
0.66,0.00010964781961431839,14.750,d
0.58,0.0001723455205109161,14.259,d
0.38,0.00030647849053700295,13.634,d
1.62,0.0007324871326650388,12.688,d
1.88,0.00011148078033638425,14.732,d
0.40,0.00032658783217233563,13.565,d
1.73,0.0005515691912608022,12.996,d
1.60,0.0008757900363063676,12.494,d
1.83,0.00009826525828295317,14.869,d
0.18,0.0006223002851691589,12.865,d
1.63,0.0019552396696208866,11.622,d
0.03,0.0023812226232768382,11.408,d
1.50,0.00004014209182043213,15.841,d
1.60,0.0035318316979195664,10.980,d
1.72,0.0010568175092136585,12.290,d
1.64,0.0014969248567600346,11.912,d
0.64,0.00010308607400626246,14.817,d
1.75,0.0002521157630807409,13.846,d
1.72,0.0004668743343920188,13.177,d
0.78,0.0001167347076492192,14.682,d
1.40,0.000028840315031266056,16.200,d
1.58,0.0017202834055304336,11.761,d
0.95,0.0000805378441199066,15.085,d
0.38,0.0003197422303204927,13.588,d
1.96,0.00009323951375406328,14.926,d
1.10,0.00006880183161430369,15.256,d
0.21,0.0005465123745198716,13.006,d
1.48,0.012600854590882367,9.599,d
1.53,0.00033666657436862255,13.532,d
0.25,0.0014229839445793321,11.967,d
0.94,0.000046816613972436416,15.674,d
1.34,0.000005086276903064361,18.084,d
0.39,0.00024865660513079317,13.861,d
0.33,0.0015631476426409524,11.865,d
1.89,0.00014927944095789958,14.415,d
0.23,0.00026595000327215147,13.788,d
0.38,0.00015674727518004376,14.362,d
0.17,0.0006131969697156819,12.881,d
0.22,0.00076278123406916,12.644,d
0.42,0.0002324877101501645,13.934,d
1.60,0.001265901749300244,12.094,d
0.49,0.0001829784734295412,14.194,d
0.33,0.0003561229809427618,13.471,d
1.60,0.0009781377043229843,12.374,d
